classname;" ""numberOfBugs""";" ""CvsEntropy"" ";" ""CvsWEntropy"" ";" ""CvsLinEntropy"" ";" ""CvsLogEntropy"" ";" ""CvsExpEntropy"""
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation;0;843.551; 0.00627586 ; 0.142794 ;812.637; 0.214433
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding;7;391.311; 0.285371 ; 0.244915 ;898.854; 0.430462
org::eclipse::jdt::internal::core::SetContainerOperation;0;698.868; 0.0227382 ; 0.0643822 ; 0.298201 ; 0.136898
org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding;0;916.287; 0.0392627 ; 0.152103 ;816.642; 0.248182
org::eclipse::jdt::internal::core::LRUCacheEnumerator;0;507.933; 0.00335126 ; 0.00762499 ; 0.120678 ; 0.00111852
org::eclipse::jdt::internal::core::JavaModelInfo;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::core::dom::MethodDeclaration;0;718.067; 0.0119023 ; 0.151655 ;811.431; 0.230995
org::eclipse::jdt::internal::core::search::matching::AndPattern;1;138.528; 0.0686472 ; 0.141381 ;823.988; 0.18781
org::eclipse::jdt::internal::eval::CodeSnippetSuperReference;0;108.205; 0.0061972 ; 0.0195642 ; 0.267914 ; 0.00981523
org::eclipse::jdt::internal::core::search::matching::OrPattern;1;786.064; 0.0275474 ; 0.137064 ;810.379; 0.219378
org::eclipse::jdt::internal::core::util::HashSetOfArray;0;129.561; 0.0693099 ; 0.00438967 ; 0.0382717 ; 0.00748615
org::eclipse::jdt::internal::core::util::ClassFileStruct;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference;0;670.304; 0.00573407 ; 0.152618 ;810.942; 0.231938
org::eclipse::jdt::internal::compiler::env::AccessRuleSet;0;111.338; 0.0324992 ; 0.0214973 ; 0.276308 ; 0.0274661
org::eclipse::jdt::internal::core::search::indexing::IndexAllProject;0;121.787; 0.0366249 ; 0.01769 ; 0.287275 ; 0.00204809
org::eclipse::jdt::internal::compiler::codegen::ObjectCache;0;342.081; 0.00462944 ; 0.00487674 ; 0.0802947 ;5.51E+00
org::eclipse::jdt::internal::core::util::ClassFileAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::ForeachStatement;2;236.077; 0.269073 ; 0.0477337 ; 0.59548 ; 0.0542082
org::eclipse::jdt::core::dom::NodeEventHandler;0;644.569; 0.00981633 ; 0.0095078 ; 0.152559 ; 0.00123383
org::eclipse::jdt::internal::eval::CodeSnippetClassFile;1;196.547; 0.0201623 ; 0.042134 ; 0.502398 ; 0.0541979
org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext;0;761.486; 0.065214 ; 0.0158234 ; 0.194937 ; 0.0123144
org::eclipse::jdt::internal::compiler::SourceJavadocParser;0;711.369; 0.0051027 ; 0.0112972 ; 0.171667 ; 0.00153047
org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding;0;125.452; 0.0197347 ; 0.145537 ;822.094; 0.211069
org::eclipse::jdt::internal::core::CreateImportOperation;0;159.473; 0.0267405 ; 0.150379 ;829.942; 0.210012
org::eclipse::jdt::internal::core::builder::ReferenceCollection;1;8.432; 0.0154394 ; 0.132469 ;810.494; 0.18682
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression;1;16.213; 0.010783 ; 0.0268068 ; 0.393339 ; 0.00911055
org::eclipse::jdt::core::dom::NodeSearcher;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::util::AnnotationComponent;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::core::dom::BreakStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::ASTHolderCUInfo;0;768.944; 0.00208409 ; 0.0130856 ; 0.187608 ; 0.00572797
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::ImportReference;0;77.102; 0.00581399 ; 0.0150364 ; 0.194204 ; 0.0103768
org::eclipse::jdt::internal::core::builder::ClasspathJar;0;141.927; 0.016369 ; 0.0242462 ; 0.345974 ; 0.0119841
org::eclipse::jdt::internal::eval::VariablesInfo;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::DeleteResourceElementsOperation;0;95.041; 0.00532485 ; 0.136917 ;813.451; 0.199167
org::eclipse::jdt::internal::core::InternalNamingConventions;2;117.427; 0.0406622 ; 0.151567 ;821.627; 0.228081
org::eclipse::jdt::internal::core::search::IndexQueryRequestor;0;533.714; 0.00254899 ; 0.00771314 ; 0.1256 ; 0.00106076
org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext;0;587.361; 0.00421312 ; 0.00865428 ; 0.139052 ;9.86E+01
org::eclipse::jdt::core::dom::LineComment;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference;0;615.815; 0.00409874 ; 0.0132351 ; 0.158651 ; 0.0124446
org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement;0;100.134; 0.0168189 ; 0.0222662 ; 0.260407 ; 0.0225005
org::eclipse::jdt::internal::compiler::ProcessTaskManager;0;184.991; 0.0468311 ; 0.0685862 ; 0.193852 ; 0.153095
org::eclipse::jdt::core::dom::SwitchStatement;0;921.692; 0.00431843 ; 0.156036 ;816.785; 0.232175
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator;1;100.398; 0.0127751 ; 0.140319 ;815.627; 0.209527
org::eclipse::jdt::internal::core::SourceMethod;0;175.057; 0.0238779 ; 0.166991 ;836.355; 0.260462
org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder;0;233.337; 0.0300901 ; 0.0496048 ; 0.59501 ; 0.0613302
org::eclipse::jdt::internal::core::util::CommentRecorderScanner;1;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::util::StackMapAttribute;0;226.443; 0.00533575 ; 0.00374515 ; 0.0551917 ;6.11E+01
org::eclipse::jdt::core::dom::SuperMethodInvocation;0;863.149; 0.0194735 ; 0.157177 ;81.599; 0.238388
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::formatter::old::CodeFormatter;0;725.753; 0.0253314 ; 0.0098062 ; 0.168437 ;6.56E+01
org::eclipse::jdt::internal::compiler::lookup::CaptureBinding;0;18.513; 0.0615781 ; 0.16975 ;839.701; 0.288074
org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding;0;222.757; 0.040362 ; 0.174812 ;848.431; 0.293833
org::eclipse::jdt::internal::compiler::ast::FieldDeclaration;0;306.378; 0.130658 ; 0.200719 ;871.535; 0.325189
org::eclipse::jdt::internal::compiler::lookup::InferenceContext;0;222.103; 0.0173098 ; 0.00845588 ; 0.0679235 ; 0.017846
org::eclipse::jdt::core::dom::AssertStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern;1;511.213; 0.00290785 ; 0.0084493 ; 0.124162 ; 0.00212678
org::eclipse::jdt::core::dom::InternalASTRewrite;0;706.348; 0.00618332 ; 0.00997839 ; 0.16545 ; 0.00112302
org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader;0;221.081; 0.127041 ; 0.189791 ;851.026; 0.321851
org::eclipse::jdt::internal::core::search::JavaSearchParticipant;0;908.309; 0.0062024 ; 0.13756 ;81.338; 0.199004
org::eclipse::jdt::internal::core::ImportContainer;0;921.502; 0.00450811 ; 0.135103 ;812.236; 0.198215
org::eclipse::jdt::core::dom::TypeParameter;0;843.242; 0.00408152 ; 0.153579 ;814.429; 0.231202
org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer;0;406.989; 0.00235898 ; 0.00590675 ; 0.0959564 ;6.89E+00
org::eclipse::jdt::core::CompletionContext;1;102.625; 0.0524104 ; 0.171654 ;822.522; 0.290037
org::eclipse::jdt::internal::core::index::EntryResult;0;922.461; 0.00703002 ; 0.0143352 ; 0.220489 ; 0.00372547
org::eclipse::jdt::internal::compiler::problem::AbortCompilation;0;905.061; 0.00370299 ; 0.0173837 ; 0.22698 ; 0.0121331
org::eclipse::jdt::core::dom::SynchronizedStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::core::dom::DefaultCommentMapper;0;128.915; 0.050394 ; 0.0251661 ; 0.325267 ; 0.0159743
org::eclipse::jdt::internal::core::util::EnclosingMethodAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::ArrayInitializer;0;202.492; 0.0733418 ; 0.155112 ;839.812; 0.206625
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName;0;0;0;0;0;0
org::eclipse::jdt::internal::compiler::impl::ShortConstant;0;677.104; 0.00343493 ; 0.0101348 ; 0.160922 ; 0.00120756
org::eclipse::jdt::internal::core::search::matching::OrLocator;0;112.897; 0.0307847 ; 0.147945 ;819.532; 0.223211
org::eclipse::jdt::internal::core::OpenableElementInfo;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue;0;408.525; 0.00137146 ; 0.00599796 ; 0.0965694 ;7.52E+01
org::eclipse::jdt::internal::core::search::matching::AndLocator;0;257.538; 0.00247396 ; 0.132681 ;798.269; 0.210948
org::eclipse::jdt::internal::compiler::codegen::CharArrayCache;0;857.238; 0.027208 ; 0.129683 ;81.024; 0.175244
org::eclipse::jdt::internal::core::search::matching::MethodLocator;3;339.297; 0.236619 ; 0.199192 ;878.156; 0.294428
org::eclipse::jdt::core::BufferChangedEvent;0;670.304; 0.00429599 ; 0.152618 ;810.942; 0.231938
org::eclipse::jdt::internal::core::NullBuffer;0;106.049; 0.00169526 ; 0.00371141 ; 0.0316289 ; 0.00673218
org::eclipse::jdt::core::dom::ReturnStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation;1;137.034; 0.00847021 ; 0.148299 ;825.014; 0.213692
org::eclipse::jdt::internal::core::MultiOperation;0;69.656; 0.0135317 ; 0.0123244 ; 0.170848 ; 0.00748692
org::eclipse::jdt::internal::core::ProjectReferenceChange;1;507.652; 0.0893076 ; 0.135422 ;804.626; 0.218176
org::eclipse::jdt::internal::compiler::ast::QualifiedSuperReference;1;529.522; 0.00372688 ; 0.00902112 ; 0.129483 ; 0.00276379
org::eclipse::jdt::internal::core::search::processing::JobManager;0;173.722; 0.0459164 ; 0.168612 ;837.081; 0.284163
org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor;0;0;0;0;0;0
org::eclipse::jdt::core::dom::SimpleName;0;106.043; 0.00911553 ; 0.159856 ;820.567; 0.238377
org::eclipse::jdt::internal::eval::CodeSnippetToCuMapper;0;145.431; 0.0194613 ; 0.0316076 ; 0.373209 ; 0.0396787
org::eclipse::jdt::internal::core::builder::JavaBuilder;0;320.766; 0.136858 ; 0.216457 ;878.373; 0.363007
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration;0;684.846; 0.00360045 ; 0.151789 ;810.896; 0.231177
org::eclipse::jdt::internal::compiler::util::SimpleNameVector;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::SearchableEnvironment;1;208.131; 0.0519283 ; 0.168737 ;843.925; 0.229295
org::eclipse::jdt::core::dom::LabeledStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::search::AbstractSearchScope;0;686.677; 0.00411404 ; 0.125854 ;806.017; 0.164593
org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder;0;144.323; 0.0421348 ; 0.0219163 ; 0.34386 ; 0.00359123
org::eclipse::jdt::internal::compiler::ast::Argument;0;204.932; 0.0388918 ; 0.168942 ;844.318; 0.253393
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser;0;251.582; 0.00409529 ; 0.00719149 ; 0.0706021 ; 0.00921909
org::eclipse::jdt::internal::core::util::JavaElementFinder;0;0;0;0;0;0
org::eclipse::jdt::internal::compiler::flow::ConditionalFlowInfo;0;518.843; 0.0282476 ; 0.00784661 ; 0.123538 ; 0.00108711
org::eclipse::jdt::internal::core::search::JavaWorkspaceScope;0;131.836; 0.0538294 ; 0.166302 ;827.278; 0.255169
org::eclipse::jdt::internal::core::MoveResourceElementsOperation;0;692.698; 0.00278123 ; 0.0097273 ; 0.161994 ; 0.00112517
org::eclipse::jdt::internal::core::BatchInitializationMonitor;0;0;0;0;0;0
org::eclipse::jdt::internal::compiler::util::Util;1;259.159; 0.159701 ; 0.199802 ;861.679; 0.33165
org::eclipse::jdt::internal::core::CancelableProblemFactory;0;650.029; 0.00472774 ; 0.0162024 ; 0.172037 ; 0.0284823
org::eclipse::jdt::internal::core::LocalVariable;1;137.497; 0.0364921 ; 0.17536 ;830.879; 0.310199
org::eclipse::jdt::internal::compiler::ast::MethodDeclaration;2;231.815; 0.0733601 ; 0.173763 ;850.375; 0.271031
org::eclipse::jdt::internal::core::ResolvedBinaryType;0;947.399; 0.00664446 ; 0.138728 ;813.707; 0.203073
org::eclipse::jdt::internal::compiler::lookup::InnerEmulationDependency;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::CreateTypeOperation;0;87.196; 0.0137488 ; 0.13446 ;811.095; 0.198195
org::eclipse::jdt::internal::core::hierarchy::RegionBasedHierarchyBuilder;0;894.796; 0.0169683 ; 0.0166142 ; 0.22261 ; 0.00996758
org::eclipse::jdt::internal::core::util::PublicScanner;0;246.219; 0.453537 ; 0.15945 ;849.782; 0.200777
org::eclipse::jdt::internal::compiler::ast::Block;0;526.853; 0.00179632 ; 0.00769384 ; 0.124448 ;8.63E+00
org::eclipse::jdt::internal::core::search::matching::MatchLocator;6;422.808; 0.466001 ; 0.192471 ;131.291; 0.432691
org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall;1;232.611; 0.0392912 ; 0.169271 ;849.634; 0.246169
org::eclipse::jdt::core::dom::SimpleType;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFormatter;0;177.564; 0.126867 ; 0.142393 ;831.733; 0.174182
org::eclipse::jdt::internal::core::builder::ProblemFactory;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::ExternalFolderChange;0;167.023; 0.00778298 ; 0.0241137 ; 0.0862473 ; 0.0917318
org::eclipse::jdt::internal::compiler::ClassFilePool;0;465.831; 0.0186341 ; 0.143022 ;804.914; 0.227034
org::eclipse::jdt::internal::core::hierarchy::HierarchyType;0;626.221; 0.00463659 ; 0.00932372 ; 0.148552 ; 0.00124495
org::eclipse::jdt::internal::compiler::batch::Main;2;499.143;228.526; 0.272317 ;927.456; 0.531851
org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression;0;363.513; 0.0135951 ; 0.122647 ;798.736; 0.171885
org::eclipse::jdt::internal::core::util::RuntimeInvisibleAnnotationsAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::antadapter::AntAdapterMessages;0;407.501; 0.00245303 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::search::indexing::SaveIndex;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::JavaModel;2;164.611; 0.0212322 ; 0.176024 ;836.307; 0.299664
org::eclipse::jdt::internal::compiler::lookup::FieldBinding;3;240.421; 0.0406408 ; 0.185777 ;853.863; 0.301109
org::eclipse::jdt::internal::compiler::lookup::ParameterizedFieldBinding;0;110.731; 0.0155554 ; 0.015298 ; 0.258265 ; 0.0012279
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference;0;519.438; 0.002307 ; 0.00784493 ; 0.123602 ; 0.00115776
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldType;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::lookup::ProblemBinding;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::CreateTypeHierarchyOperation;0;250.744; 0.0015187 ; 0.00287293 ; 0.0561041 ;4.52E+00
org::eclipse::jdt::core::search::MethodReferenceMatch;1;997.058; 0.0679523 ; 0.14727 ;816.992; 0.219542
org::eclipse::jdt::internal::eval::CodeSnippetQualifiedNameReference;3;144.405; 0.0195094 ; 0.160556 ;828.677; 0.249887
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser;0;153.647; 0.0307317 ; 0.0346363 ; 0.400882 ; 0.0373279
org::eclipse::jdt::core::dom::EmptyStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::core::dom::SimplePropertyDescriptor;0;670.304; 0.00381663 ; 0.152618 ;810.942; 0.231938
org::eclipse::jdt::internal::core::SourceRange;0;526.021; 0.00464642 ; 0.00888735 ; 0.128392 ; 0.00257359
org::eclipse::jdt::internal::core::BinaryType;1;292.704; 0.0697392 ; 0.186933 ;866.042; 0.284892
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch;0;329.051; 0.00128984 ; 0.00376279 ; 0.0735933 ;5.82E+00
org::eclipse::jdt::internal::core::util::LocalVariableTypeAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::core::util::ByteCodeVisitorAdapter;1;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::ThisReference;0;84.257; 0.00385568 ; 0.0136954 ; 0.203937 ; 0.00319476
org::eclipse::jdt::internal::compiler::Compiler;1;354.473; 0.278681 ; 0.260976 ;895.262; 0.499491
org::eclipse::jdt::internal::compiler::flow::FlowContext;2;149.914; 0.0656826 ; 0.0267717 ; 0.369907 ; 0.0135966
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference;0;145.866; 0.00655623 ; 0.144641 ;82.573; 0.200209
org::eclipse::jdt::internal::core::DeletePackageFragmentRootOperation;0;10.025; 0.00933103 ; 0.143124 ;816.441; 0.21225
org::eclipse::jdt::internal::compiler::ast::BreakStatement;0;732.455; 0.0120357 ; 0.0157158 ; 0.188793 ; 0.014289
org::eclipse::jdt::internal::formatter::FormatJavadocBlock;0;184.991; 0.0376748 ; 0.0685862 ; 0.193852 ; 0.153095
org::eclipse::jdt::internal::compiler::classfmt::FieldInfo;0;179.172; 0.0624976 ; 0.139862 ;831.555; 0.156474
org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc;0;459.811; 0.0106444 ; 0.00592579 ; 0.10563 ;2.46E+01
org::eclipse::jdt::internal::core::util::LineNumberAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::PackageFragmentRootInfo;0;100.996; 0.0251327 ; 0.16326 ;820.471; 0.279352
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFlattener;0;108.995; 0.0189371 ; 0.0173681 ; 0.262326 ; 0.00432864
org::eclipse::jdt::core::dom::ForStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::compiler::parser::diagnose::DiagnoseParser;0;156.896; 0.0637251 ; 0.148811 ;829.096; 0.20354
org::eclipse::jdt::core::dom::ASTNode;0;145.995; 0.0154561 ; 0.177241 ;833.007; 0.286004
org::eclipse::jdt::internal::codeassist::InternalCompletionContext;1;968.336; 0.0144815 ; 0.156878 ;818.146; 0.248237
org::eclipse::jdt::internal::compiler::ast::IfStatement;0;133.833; 0.0111105 ; 0.0229137 ; 0.327049 ; 0.0102256
org::eclipse::jdt::core::dom::CharacterLiteral;2;147.589; 0.0284261 ; 0.166418 ;830.467; 0.244005
org::eclipse::jdt::internal::compiler::lookup::SignatureWrapper;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::DefaultErrorHandlingPolicies;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::search::BasicSearchEngine;2;356.225; 0.243232 ; 0.228688 ;888.507; 0.391676
org::eclipse::jdt::internal::compiler::batch::FileFinder;0;512.326; 0.00638453 ; 0.00860472 ; 0.124861 ; 0.00246505
org::eclipse::jdt::internal::formatter::comment::MultiCommentRegion;0;603.322; 0.00352956 ; 0.0137697 ; 0.159077 ; 0.0105902
